origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd,forecaster_id
3,2010,172.247016129255,174.10247037402,2.09725823683131,2.08775195608356,70
4,2010,173.765856963001,175.318781983487,2.10058184367573,2.08732399812255,70
1,2011,176.761685878528,178.683033228417,2.07675164215938,2.06358244207374,70
2,2011,177.806939674145,179.65978140026,2.05791025880752,2.04557660329385,70
4,2011,181.603238058624,183.163824353934,2.07976146571351,2.0677201323878,70
1,2012,185.351926558736,187.571917017741,2.07653039772831,2.07143705615374,70
2,2012,187.14844883759,189.218915838764,2.07731537545138,2.07058300931899,70
3,2012,189.116224819762,191.377917351583,2.08711221670279,2.08861520632895,70
4,2012,189.124376698761,190.721013388577,2.05341617528599,2.04323765836593,70
1,2013,192.52459830315,194.491713643456,2.04238587412054,2.03208016693993,70
2,2013,194.634945865181,196.467912251861,2.05089585453051,2.0393370783198,70
3,2013,197.091362568441,198.792022561459,2.07190050238712,2.06047119670529,70
4,2013,198.998238395541,200.808744223227,2.08409630457013,2.07880145000939,70
1,2014,201.153747531052,203.082648345288,2.04458646457736,2.03384376994158,70
2,2014,202.452922997164,204.303744768877,2.03449027344094,2.02409065469859,70
3,2014,203.733424782943,205.406696559481,2.02850175236115,2.01765674459805,70
4,2014,204.621396541261,206.166503198273,2.01816235186839,2.00827804875542,70
1,2015,209.38217814591,211.287344400455,2.03789590895591,2.02720150584328,70
2,2015,212.0798186402,213.920572202185,2.05840438821878,2.04785585928678,70
3,2015,213.277520007078,215.007210068361,2.05057818562059,2.04102436903098,70
4,2015,213.086305885691,214.592298914875,2.01775452718121,2.00747767830536,70
1,2016,216.207583067982,218.104943651263,2.00289010680999,1.99299458395563,70
2,2016,218.090495395252,219.928058131239,2.00600535951389,1.99658637840822,70
3,2016,218.530009348923,220.199771950992,1.98409816985058,1.9746923306216,70
4,2016,220.763437296757,222.274967559287,2.00170573879065,1.99217329123989,70
1,2017,223.979022771539,225.859300143468,1.98952972799906,1.97988133450045,70
2,2017,225.638480241215,227.436513734291,1.98831520923287,1.97875406796393,70
3,2017,226.238142941825,227.884234858509,1.97063174307088,1.9613300972822,70
1,2020,253.74689136584,255.665314928232,2.06937665490385,2.06036448347518,70
4,2020,371.162708343449,374.60658720346,5.42212604224996,5.44273173254736,70
1,2021,455.087592796645,460.694458698903,10.5991344410875,10.7383617295905,70
1,2001,89.159736334843,91.0352077584621,1.9904859248868,1.96482700008134,73
2,2001,90.4324387031057,92.2150536602382,1.96764410830452,1.94289680523928,73
3,2001,93.1993946297159,94.8988885032796,2.03003564261125,2.00674566020107,73
4,2001,96.2774421025548,97.826175720047,2.11669653909878,2.09137033402443,73
1,2002,99.7154184365186,101.675938259402,2.09385656670733,2.07101739534317,73
2,2002,102.727969612666,105.128386459429,2.15506878194362,2.15606903959025,73
3,2002,104.196162647647,107.365841288704,2.14816123011053,2.1934989771494,73
4,2002,106.47935813125,111.084522332494,2.18968704442214,2.31258150183304,73
1,2003,106.807199895803,108.700719215549,2.02491817011262,2.00327282854593,73
2,2003,107.290764997022,109.349956361515,1.97150468153129,1.9620117567148,73
3,2003,109.50396441575,111.162984025287,2.00017068573396,1.97991635134461,73
4,2003,110.692267418257,112.182657657067,1.99361458925592,1.97362080231394,73
1,2004,116.022990258787,117.938405329148,2.05420230072259,2.03425833135919,73
2,2004,117.434443492159,119.254955398625,2.04043763768747,2.02072926964051,73
3,2004,119.065161478724,120.822774738445,2.04342524259513,2.02723521336931,73
4,2004,119.584277515756,121.088690814169,2.01086107329082,1.99237955486327,73
1,2005,124.303816619932,126.217461652642,2.04378751283536,2.02550323526523,73
2,2005,124.507153211347,126.39436804269,1.98714106078155,1.9725904426202,73
3,2005,120.205648398172,121.756162744186,1.79068105121175,1.77514799230668,73
4,2005,123.257542501233,124.741421660845,1.84856178974935,1.83474142486488,73
1,2006,123.265098526658,125.034198351413,1.73280465173238,1.71894661441564,73
2,2006,125.221259910902,126.885877151076,1.74376351161314,1.72919219707799,73
3,2006,125.637161168193,127.146159320692,1.71546741539285,1.70159692274864,73
4,2006,125.459079998548,127.054935660585,1.67726711304499,1.6711672804446,73
1,2007,129.67071617092,131.385902167956,1.69222823249832,1.67874541978526,73
