target_quarter,target_year,spf_filter_cy,spf_filter_ny,origin_quarter,origin_year
2,1997,2.18207081704789,2.18207081704789,4,2002
3,1997,2.28284695905432,2.28284695905432,4,2002
4,1997,3.14475143790121,3.14475143790121,4,2002
1,1998,3.66274614480191,3.66274614480191,4,2002
2,1998,2.92461050163755,2.92461050163755,4,2002
3,1998,2.83489770139904,2.83489770139904,4,2002
4,1998,2.08586712893173,2.08586712893173,4,2002
1,1999,2.08346090210756,2.08346090210756,4,2002
2,1999,2.23488746304157,2.23488746304157,4,2002
3,1999,2.97498957057698,2.97498957057698,4,2002
4,1999,3.81502344441382,3.81502344441382,4,2002
1,2000,3.81804694024375,3.81804694024375,4,2002
2,2000,4.13868879496748,4.13868879496748,4,2002
3,2000,3.2214140066315,3.2214140066315,4,2002
4,2000,2.74780820123262,2.74780820123262,4,2002
1,2001,2.43063586451757,2.43063586451757,4,2002
2,2001,1.60608830139986,1.60608830139986,4,2002
3,2001,1.36784813708195,1.36784813708195,4,2002
4,2001,0.418429340113802,0.418429340113802,4,2002
1,2002,0.265083109953013,0.265083109953013,4,2002
2,2002,0.567325039385258,0.567325039385258,4,2002
3,2002,1.51272014295623,1.49501092595974,4,2002
4,2002,1.82785184414656,1.86531459110386,4,2002
1,2003,,1.94165838646131,4,2002
2,2003,,1.98746466367578,4,2002
3,2003,,2.01036780228301,4,2002
4,2003,,2.01800218181876,4,2002
1,1992,2.52137503754825,2.52137503538661,1,2003
2,1992,1.6954783447688,1.6954783447688,1,2003
3,1992,1.52252105422286,1.52252105422286,1,2003
4,1992,0.422437430231004,0.422437430231004,1,2003
1,1993,-1.75413438684441,-1.75413438684441,1,2003
2,1993,-1.06500731746157,-1.06500731746157,1,2003
3,1993,-0.51415303197524,-0.51415303197524,1,2003
4,1993,0.0627445022164606,0.0627445022164608,1,2003
1,1994,1.69384582153365,1.69384582153365,1,2003
2,1994,2.20816999176203,2.20816999176203,1,2003
3,1994,2.53170606400892,2.53170606400892,1,2003
4,1994,2.98827502482839,2.98827502482839,1,2003
1,1995,2.63989264914863,2.63989264914863,1,2003
2,1995,2.65406615552839,2.65406615552839,1,2003
3,1995,2.14101129419404,2.14101129419404,1,2003
4,1995,1.50680129780394,1.50680129780394,1,2003
1,1996,1.18490406840031,1.18490406840031,1,2003
2,1996,1.26515108216556,1.26515108216556,1,2003
3,1996,1.61652558159542,1.61652558159542,1,2003
4,1996,1.63627059714087,1.63627059714087,1,2003
1,1997,1.73993899154175,1.73993899154175,1,2003
2,1997,2.19906133530794,2.19906133530794,1,2003
3,1997,2.29602948805909,2.29602948805909,1,2003
4,1997,3.1320322242425,3.1320322242425,1,2003
1,1998,3.67726995431843,3.67726995431843,1,2003
2,1998,2.93280912429379,2.93280912429379,1,2003
3,1998,2.84090621753783,2.84090621753783,1,2003
4,1998,2.10804281816939,2.10804281816939,1,2003
1,1999,2.13199757068467,2.13199757068467,1,2003
2,1999,2.28569495977684,2.28569495977684,1,2003
3,1999,3.02817436392822,3.02817436392822,1,2003
4,1999,3.80809613745523,3.80809613745523,1,2003
1,2000,3.85186163741771,3.85186163741771,1,2003
2,2000,4.13922699891252,4.13922699891252,1,2003
3,2000,3.1861188008051,3.1861188008051,1,2003
4,2000,2.7371771666731,2.7371771666731,1,2003
1,2001,2.36642992371561,2.36642992371561,1,2003
2,2001,1.54125721837002,1.54125721837002,1,2003
3,2001,1.34179451326606,1.34179451326606,1,2003
4,2001,0.45218075180451,0.45218075180451,1,2003
1,2002,0.348862833370189,0.348862833370189,1,2003
2,2002,0.683731524599218,0.683731524599218,1,2003
3,2002,0.833748933523948,0.833748933523948,1,2003
4,2002,1.22316303125522,1.12483979986298,1,2003
1,2003,1.52271233720235,1.41429998834979,1,2003
2,2003,1.70244192077062,1.70158593970033,1,2003
3,2003,1.79230671255476,1.96948967597077,1,2003
4,2003,1.82226164314947,2.2008032192173,1,2003
1,2004,,2.37831859149612,1,2003
2,2004,,2.48482781486342,1,2003
3,2004,,2.53808242654706,1,2003
4,2004,,2.55583396377494,1,2003
1,1992,2.5218483952623,2.52184840165709,2,2003
2,1992,1.694109775973,1.694109775973,2,2003
3,1992,1.52179809624577,1.52179809624577,2,2003
4,1992,0.424042621408249,0.424042621408249,2,2003
1,1993,-1.75121788091579,-1.75121788091579,2,2003
2,1993,-1.0647654509596,-1.0647654509596,2,2003
3,1993,-0.512119239688846,-0.512119239688846,2,2003
4,1993,0.057495943521868,0.057495943521868,2,2003
1,1994,1.68953280570914,1.68953280570914,2,2003
2,1994,2.21385533995593,2.21385533995593,2,2003
3,1994,2.52436539302201,2.52436539302201,2,2003
4,1994,2.99426167056243,2.99426167056243,2,2003
1,1995,2.64378920647494,2.64378920647494,2,2003
2,1995,2.65523503079126,2.65523503079126,2,2003
3,1995,2.14806064914466,2.14806064914466,2,2003
4,1995,1.51809306363897,1.51809306363897,2,2003
1,1996,1.18607118254475,1.18607118254475,2,2003
2,1996,1.26321112375662,1.26321112375662,2,2003
3,1996,1.61678803444556,1.61678803444556,2,2003
4,1996,1.63244360999999,1.63244360999999,2,2003
1,1997,1.74128899226369,1.74128899226369,2,2003
2,1997,2.20318851684531,2.20318851684531,2,2003
3,1997,2.29931579513458,2.29931579513458,2,2003
4,1997,3.13066217354305,3.13066217354305,2,2003
1,1998,3.66590570138454,3.66590570138454,2,2003
2,1998,2.92274445011387,2.92274445011387,2,2003
3,1998,2.83279689791951,2.83279689791951,2,2003
4,1998,2.10041691764922,2.10041691764922,2,2003
1,1999,2.13055935624047,2.13055935624047,2,2003
2,1999,2.28500514563119,2.28500514563119,2,2003
3,1999,3.0325323560394,3.0325323560394,2,2003
4,1999,3.79707489492014,3.79707489492014,2,2003
1,2000,3.87031539364007,3.87031539364007,2,2003
2,2000,4.15154987725586,4.15154987725586,2,2003
3,2000,3.24388387182653,3.24388387182653,2,2003
4,2000,2.76481742143948,2.76481742143948,2,2003
1,2001,2.40665230130559,2.40665230130559,2,2003
2,2001,1.5740004217361,1.5740004217361,2,2003
3,2001,1.2828736432025,1.2828736432025,2,2003
4,2001,0.455394106486118,0.455394106486118,2,2003
1,2002,0.295599011929038,0.295599011929038,2,2003
2,2002,0.632130518840013,0.632130518840013,2,2003
3,2002,0.879973408593071,0.879973408593071,2,2003
4,2002,1.28042137908442,1.28042137908442,2,2003
1,2003,1.09878833885953,0.825519814415122,2,2003
2,2003,0.989808514724601,0.870666914652345,2,2003
3,2003,0.935318602657136,1.24114925746964,2,2003
4,2003,0.917155298634647,1.76225342054058,2,2003
1,2004,,2.2592659815387,2,2003
2,2004,,2.55747351813758,2,2003
3,2004,,2.70657728643702,2,2003
4,2004,,2.75627854253683,2,2003
1,1992,2.53091852636331,2.53091852636331,3,2003
2,1992,1.68024770724169,1.68024770724169,3,2003
3,1992,1.53223995627096,1.53223995627096,3,2003
4,1992,0.418440506307927,0.418440506307927,3,2003
1,1993,-1.75411057063175,-1.75411057063175,3,2003
2,1993,-1.0762054641583,-1.0762054641583,3,2003
3,1993,-0.497364589693294,-0.497364589693294,3,2003
4,1993,0.0572009996673951,0.0572009996673948,3,2003
1,1994,1.66208721569292,1.66208721569292,3,2003
2,1994,2.24500330241435,2.24500330241435,3,2003
3,1994,2.49783200634239,2.49783200634239,3,2003
4,1994,3.01706001805004,3.01706001805004,3,2003
1,1995,2.66514733685683,2.66514733685683,3,2003
2,1995,2.64240839827543,2.64240839827543,3,2003
3,1995,2.16497692245259,2.16497692245259,3,2003
4,1995,1.49415427185338,1.49415427185338,3,2003
1,1996,1.20776222813834,1.20776222813834,3,2003
2,1996,1.25009520878989,1.25009520878989,3,2003
3,1996,1.59466475636438,1.59466475636438,3,2003
4,1996,1.6421016042943,1.6421016042943,3,2003
1,1997,1.696634451985,1.696634451985,3,2003
2,1997,2.24527954010572,2.24527954010572,3,2003
3,1997,2.31024805506839,2.31024805506839,3,2003
4,1997,3.12840858945687,3.12840858945687,3,2003
1,1998,3.69301215329034,3.69301215329034,3,2003
2,1998,2.91290416044898,2.91290416044898,3,2003
3,1998,2.82909927923516,2.82909927923516,3,2003
4,1998,2.08043579395787,2.08043579395787,3,2003
1,1999,2.1404497072699,2.1404497072699,3,2003
2,1999,2.28996263746342,2.28996263746342,3,2003
3,1999,3.03505780862401,3.03505780862401,3,2003
4,1999,3.8143796955961,3.8143796955961,3,2003
