origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd,cy_rw_us_sd,cyandny_rw_us_sd
3,2008,287.499328471197,289.164496233604,1.75257483513204,1.7518516768727,1.84814954492808,1.83783160138083
4,2008,285.866302286502,289.084182129969,1.70424343000607,1.68958485881801,1.83029853928764,1.82556268017104
1,2009,293.511762200098,296.78385508869,1.69589340440682,1.70417060341634,1.83740142694252,1.85482748533246
2,2009,308.37520976955,310.990119796633,1.7953192638901,1.80156392559134,2.01652469535473,2.02660299393857
3,2009,328.144486122625,329.72205890755,2.00933949693373,1.99708569833354,2.25228924906882,2.24980896260779
4,2009,333.063257089152,336.55583013597,2.1088917088615,2.09559396233001,2.25574785527772,2.24548555883548
1,2010,341.83313771054,343.807094196542,2.11333767694242,2.09888877341016,2.26029824727203,2.26228228274339
2,2010,345.301303396802,347.09355345516,2.0936556450144,2.08176484871899,2.26080349337641,2.26318237711479
3,2010,349.093490504502,350.730596616616,2.09360803191142,2.08234783790726,2.26160254554637,2.26358325477442
4,2010,350.075139166778,353.541289747728,2.09329713729161,2.08276717872248,2.25450321540868,2.24539528680727
1,2011,356.796523239323,358.718193453319,2.06740149285417,2.05618470071355,2.2338359494553,2.23357645408448
2,2011,360.148276693148,361.923129914985,2.05286230867417,2.04247335395061,2.22913711988036,2.22857736666608
3,2011,364.345643234399,365.927289341584,2.06422405461528,2.05555955921841,2.22734192587312,2.22759023339252
4,2011,367.969925004083,371.522672500299,2.09030471112661,2.07565661000494,2.27068431311125,2.26054823038692
1,2012,376.062550169366,378.433453428323,2.07884847177169,2.06984099992279,2.27147813509282,2.2809811544998
2,2012,381.898087599861,383.851076666006,2.08240029409553,2.07025765406976,2.3133190886007,2.31492578405818
3,2012,386.009385159193,387.649765527105,2.07224579903852,2.06298215257589,2.33073005383503,2.32640508780249
4,2012,386.795146676309,390.464228097331,2.05332493238117,2.04367828045393,2.34549269321091,2.33313581886201
1,2013,393.62062421712,395.762647435533,2.03910288982953,2.02716811001115,2.31139247212189,2.3164094860931
2,2013,399.133236801545,400.914816939635,2.04439387404925,2.03371837930001,2.34526159649655,2.34477817915593
3,2013,403.151091050551,404.723395212633,2.04068282624757,2.03085511099852,2.35279391121658,2.35106454440599
4,2013,406.324042225706,409.938822640867,2.07773418922044,2.06700913789974,2.36427803298176,2.35473616753297
1,2014,412.534830654828,414.446798243908,2.03898540368497,2.02727741332609,2.34529713231034,2.34680056133021
2,2014,415.615111300389,417.388036009606,2.03006184963104,2.02054801630259,2.33762654874816,2.33778590343211
3,2014,419.191526856042,420.748883233152,2.02383539121057,2.01225148417806,2.33464588873971,2.33320306640693
4,2014,422.931420935463,426.468236857837,2.04580439643064,2.03486935074341,2.37306838690223,2.36256898055028
1,2015,431.168864552911,433.087398340617,2.04571073754042,2.03368775705101,2.36279908436234,2.36361233476066
2,2015,435.414890770026,437.192027116248,2.05268589798776,2.04308781786027,2.36127910308975,2.36014663826463
3,2015,438.187570429938,439.763859846481,2.04289190957348,2.0330404473061,2.34684822441125,2.34481505529476
4,2015,437.500807304965,440.883764886671,2.0144875653958,2.00482633276248,2.33152128047805,2.32588671910262
1,2016,444.48595923762,446.326604330612,1.99636417414039,1.98622106980313,2.32105300522116,2.31767218838602
2,2016,449.457700105427,451.167250329193,1.99248975088154,1.98729201120925,2.31090729900656,2.31185759116251
3,2016,451.292256181256,452.789769094574,1.97396319045643,1.96419924698006,2.29653361013153,2.2954631083356
4,2016,451.893666304888,455.238150830991,2.00029497044128,1.9873177240613,2.2812419229229,2.27415325873172
1,2017,458.846314402788,460.686499763712,1.98369681595013,1.97421400660679,2.2642976434891,2.26479689649033
2,2017,462.290719623727,464.034666960042,1.98483515565338,1.97394944813285,2.25431437940983,2.25035408767035
3,2017,464.912187069251,466.440695276373,1.97168256501934,1.96431303753334,2.24323755292168,2.241832460535
4,2017,465.001066961729,468.296636898746,1.96329257955208,1.9509156708085,2.23138940867768,2.22043501842101
1,2018,471.278640827588,473.085762934702,1.94092397850708,1.93423750399671,2.2116812899517,2.20970503278041
2,2018,474.331788525501,476.049840363154,1.9330230359957,1.92386271798579,2.20192942485642,2.20214289142375
3,2018,476.861445868778,478.379899021538,1.92293256441514,1.91469049355068,2.1915521612559,2.19142764692433
4,2018,479.029702946624,482.29121582743,1.93808536575864,1.92783078911215,2.19485216529731,2.18657203599113
1,2019,486.487964114966,488.288525119374,1.92744985702589,1.91869387537351,2.18667985679028,2.18608549844103
2,2019,489.803996360794,491.513230734605,1.9174445662125,1.91046434372605,2.18670306813253,2.18248490610592
3,2019,493.617391517799,495.121213128954,1.92281638687145,1.91758735692163,2.18192324835953,2.17964280471688
4,2019,500.020946540472,503.384492903847,1.9977017678464,1.98816211899009,2.20060316184619,2.19459317173796
1,2020,513.067035634182,514.93934224064,2.06363314721722,2.0566390111183,2.21768434437929,2.21795919196894
2,2020,564.726868164943,580.630361772831,2.2125198623459,2.49626051331696,3.10906305618469,3.09616691663522
3,2020,611.873955401526,633.105890218968,2.45952470290583,2.97739514418947,4.02411474999503,3.90774767018348
4,2020,735.849638110414,742.888831069503,5.8747530027388,5.97410300940586,4.77990912708915,4.73446144316098
1,2021,855.603522525108,860.470093358772,10.6823757912676,10.758363875461,6.52314691899628,6.52701298158644
2,2021,867.105166732712,870.632926079857,11.170840729049,11.1297388775872,6.49715176035625,6.50055577468303
