origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd,cy_rw_us_sd,cyandny_rw_us_sd
4,2006,255.610634542867,262.399612296127,1.69962223583631,1.68103519310686,1.87866701067721,1.85634828060299
1,2007,266.069390272748,267.530385365449,1.67945890973001,1.66472438490993,1.83958985143093,1.84068028483828
2,2007,267.263655441418,270.362711932457,1.6826101368381,1.66804472900733,1.83378260007146,1.81718711648479
3,2007,267.284646664943,271.939774305073,1.66913034489592,1.6591174246738,1.80909905235833,1.79107015216258
4,2007,267.842996400165,274.090287880277,1.67104990184912,1.65080548368999,1.80767583024148,1.77668203675735
1,2008,279.106768355048,280.547112351818,1.67377263792134,1.6665505370984,1.77247102410365,1.76912969764042
2,2008,278.770461283254,281.824806540908,1.65103631843177,1.6408366250161,1.75260538228682,1.74682159856118
3,2008,279.813001861311,284.530973010247,1.64405309291377,1.63502087035947,1.76762616218737,1.73631759940941
4,2008,284.127495677294,290.809696307551,1.71043934684161,1.68819991917846,1.77885049775607,1.76126917506731
1,2009,295.65532387157,297.103529670228,1.70762970147716,1.70048671873059,1.75661441312615,1.75600608507265
2,2009,302.834208680912,306.253794203512,1.81409442774619,1.80330168936748,1.7984950881229,1.78926935213572
3,2009,316.412181089609,322.483020291886,2.01361769884599,2.00453589913093,1.91514083726124,1.91529468785467
4,2009,320.099147041472,327.637124711943,2.1131115457057,2.0864281121244,1.89417222708956,1.88839526368301
1,2010,333.235275537334,334.854460665656,2.09844076295778,2.08656659220824,1.90685493116885,1.90376184828594
2,2010,334.769067629066,338.273825019181,2.08572682860851,2.07034043676098,1.91993609383934,1.91160830264711
3,2010,335.991579456019,341.538485818636,2.09714772940084,2.07608451628512,1.91600092480852,1.90519600808895
4,2010,336.137996975012,343.585362679905,2.08968939874492,2.07286650382537,1.88891362709627,1.87780666908894
1,2011,348.075751244947,349.712036401487,2.05411407510198,2.04565354698913,1.89704578308506,1.89501107937939
2,2011,348.754458998313,352.256792820514,2.0461775408019,2.03213674917832,1.88780142158031,1.87697456940328
3,2011,349.282497362732,354.390830774472,2.06197936378927,2.04739242787241,1.85681583213003,1.84190404613623
4,2011,353.234953176411,360.666381165798,2.08922262680854,2.07182586674593,1.90007973181167,1.88710033685049
1,2012,367.415584928072,369.024289072095,2.07047342027364,2.05963059984181,1.94467726341007,1.9418809241623
2,2012,370.435110079715,373.972907181959,2.07672304061588,2.06436359727539,1.97072088915348,1.96357685048344
3,2012,371.506672877884,376.831393611203,2.07145438905957,2.05892761012251,1.97152289908186,1.95368617042193
4,2012,372.44424889797,379.873380337588,2.05406303276987,2.04065186160121,1.98335035993021,1.96472429889613
1,2013,384.573035868458,386.171900368955,2.02837688145336,2.02006670677172,1.98604322989418,1.98246530194134
2,2013,387.589964142616,391.139637201702,2.04610447486554,2.032234138527,2.0073761569903,1.99897796188232
3,2013,388.924643278236,394.698278056216,2.0410347947398,2.02867798425223,2.01135848038589,2.00577002637057
4,2013,389.958029458936,397.681464251262,2.04245255133139,2.02489778823914,2.00770934230156,2.00497892034545
1,2014,402.269725402473,403.891875992851,2.02916300991134,2.02021049831747,2.00093854234242,1.99875959387879
2,2014,403.209539391438,406.829549365231,2.02257081714425,2.01340961837609,1.99844368830183,1.98818465557404
3,2014,404.654511646228,410.185774659542,2.02012393512036,2.00521014071741,2.00559437435795,1.99460496938564
4,2014,408.926894455339,416.263571257004,2.037783738678,2.02313801960911,2.03684558756289,2.02420108012027
1,2015,421.797732370186,423.392346100037,2.02977888619283,2.0223710299319,2.02052819663049,2.02175594079811
2,2015,423.535812840358,426.904158430983,2.05114483494955,2.03513623846668,2.01628381335884,2.00820586603486
3,2015,423.635434110692,428.973290563744,2.03850090375636,2.02695819976565,2.00540311226646,1.99416657496485
4,2015,421.837883542101,428.717266814226,2.0076607016622,1.9888729213144,1.98226624452077,1.96964923723677
1,2016,433.585864658935,435.187893898509,1.98143206337555,1.97444402447646,1.96883934945549,1.96663380501931
