origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd,cy_rw_us_sd,cyandny_rw_us_sd
4,2005,252.71497678674,258.776740877052,1.78216037750153,1.78650108524132,2.21634764404767,2.19636593877174
1,2006,260.783499930665,262.409779159598,1.73066504171452,1.725143518138,2.15384579798866,2.14960538966632
2,2006,262.544645358129,263.984380753128,1.70243777238066,1.69390516251517,2.12557273296445,2.12365694811555
3,2006,263.035631763065,266.248883514107,1.6942062313555,1.67859936358424,2.12278099855479,2.11036876569796
4,2006,263.834595362873,268.825397822098,1.69460821622627,1.68606301401383,2.12255997686253,2.09951885405459
1,2007,273.796451430589,275.615020775571,1.69239930721547,1.68442554087671,2.08872196350186,2.08950701961669
2,2007,275.181663228208,276.578267088205,1.67230213166873,1.663322989951,2.04275180081166,2.04203575668984
3,2007,275.993599928639,279.083430013108,1.67492228033825,1.66350673889656,2.03684753311634,2.02483918632218
4,2007,277.580216481229,282.455911316682,1.68852198418855,1.67867568808468,2.04792128228746,2.02094837203405
1,2008,286.654499584013,288.243421446317,1.67928884712111,1.66543727459129,1.99641056342891,2.00036316924156
2,2008,294.640441714023,296.417638034791,1.75831441290834,1.76278000298793,2.03739990081263,2.02650565999395
3,2008,293.660153612062,296.991302798327,1.74022294445229,1.73802119689315,2.00253248747651,1.98584860503822
4,2008,294.591001793513,299.45534066824,1.71441347140183,1.70018658787958,2.04101064124002,2.01983949198684
1,2009,317.709431973145,319.410837014274,1.84469104523632,1.83049716732022,2.23716297936093,2.23499898311372
2,2009,345.3547536954,348.15722633419,2.17980464971566,2.21169371316011,2.61849935965462,2.60443144244498
3,2009,346.077366451481,350.759756019776,2.12128753730226,2.14176133106887,2.66863785132184,2.65422000666047
4,2009,344.879704972298,350.453562543871,2.10691218392179,2.09007164099499,2.61416214842502,2.59266581240015
1,2010,356.766294685145,358.57702137995,2.11103924484128,2.10153735272865,2.597533316998,2.59881880740823
2,2010,359.633106760987,361.243495204318,2.08597531341513,2.07678283625927,2.5940159274578,2.59430116537228
