origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cy_gamma,cyandny_rw_sd,cy_rw_us_sd,cyandny_rw_us_sd,cyandny_gamma
2,2012,384.758561164447,386.515759968759,2.08352913529721,0.545088499420732,2.07467860309431,2.33164737774813,2.32804803497768,0.547883215385197
3,2012,386.330447856208,390.017172917208,2.07567685112607,0.538729753064626,2.06820731283894,2.34271590449229,2.33151407222268,0.541998376244736
4,2012,386.993571436691,392.729556517506,2.05293331192008,0.53421191434513,2.04783264452406,2.3521616164837,2.33465577723509,0.537034178042231
1,2013,396.627188920988,398.573769735428,2.0400004278119,0.540045604380519,2.03044923484246,2.33521891240823,2.33473134074907,0.54030541945758
2,2013,401.365286690707,403.149884820008,2.04805476799167,0.532255894350213,2.03663198129698,2.34376477047964,2.34402777161468,0.534148273446126
3,2013,403.007196529171,406.852759970843,2.04557334235746,0.529274504870914,2.03538807762341,2.35012808707407,2.34798720185901,0.532908335160741
4,2013,405.984096471681,411.973301678912,2.07973182538553,0.525129627838172,2.07094957968304,2.35645123091221,2.34994057592576,0.532439679368445
1,2014,414.820318616427,416.696165863824,2.04125659664333,0.535398140871344,2.0311081823352,2.34899153710935,2.34745954624592,0.53638925120015
2,2014,418.170647130718,419.935647259649,2.03001679129478,0.541532321319609,2.01937373640235,2.34295161469067,2.34232700087606,0.542555201801756
3,2014,419.576456895635,423.444553720157,2.02547356048228,0.541791977090401,2.0159215570543,2.34658745354362,2.34430214489762,0.547278858517104
4,2014,422.327306130998,428.414588920286,2.04803944773698,0.529456760258433,2.03822528180105,2.35791857691412,2.35660811997536,0.538595954182282
1,2015,433.141522584358,435.020648457743,2.04699730450377,0.53790110903748,2.03683906224673,2.35857362393789,2.35854075215277,0.539291708713472
2,2015,437.228854157985,439.006010589922,2.05426606118438,0.541031977915579,2.04530719929483,2.35056134090473,2.35008792939993,0.543002099330078
3,2015,438.063372940843,441.80201627283,2.04621783544846,0.544663668149975,2.03613236726008,2.34507452249371,2.34029665654175,0.548502279471827
4,2015,437.720587847093,443.331555105878,2.01688241990468,0.549438830820113,2.00473575551713,2.34037166974909,2.3305480606011,0.556443549318211
1,2016,446.924228069123,448.77146658343,1.99916918371305,0.557443692095217,1.98874642473816,2.32338941000311,2.32399632863155,0.558043388246407
2,2016,452.169384608251,453.79556277354,1.99622545190186,0.559187601578265,1.98850246681159,2.32149415846165,2.32017105887163,0.560793691534019
3,2016,452.225680169773,455.70951775357,1.97503653178296,0.562909772328917,1.9678259183764,2.31810040604769,2.31023867104283,0.566216532268104
4,2016,452.862889760382,458.244688126282,2.00049504105716,0.567576534761524,1.98972341836137,2.30364984113307,2.2900757768391,0.571378698593532
1,2017,461.979978550386,463.8190888025,1.98602012927519,0.572241544430609,1.97728618275446,2.28389855378715,2.28448489399,0.57312381650478
2,2017,465.515142035573,467.230202669897,1.98517953944473,0.57435936609929,1.97682817876613,2.27612351953609,2.27602247014731,0.576141268782654
3,2017,466.138384831741,469.633393029812,1.97644744197663,0.577293765003387,1.96762851463015,2.26899436855694,2.2593469422896,0.579657334324834
4,2017,466.405330016868,471.698066374278,1.96562521517273,0.581091353110308,1.95436113257803,2.26091354494476,2.24771673465516,0.584144568725087
1,2018,474.831680101895,476.649482086398,1.94429613458334,0.587258832983808,1.93565986081304,2.23752324589961,2.23690667971408,0.588295179751177
2,2018,477.903709601056,479.61310570328,1.93451836664324,0.589156379422226,1.92630164839495,2.22918888251067,2.22869290811183,0.590756786737665
3,2018,478.618803153054,482.150292266561,1.92530166783525,0.59304737387738,1.91627810406245,2.22597776138755,2.2203244636769,0.596961357680684
4,2018,480.761994869991,486.149511624348,1.93901804728024,0.593886763313376,1.92942859739644,2.23009925313369,2.21939226459985,0.59943352148298
1,2019,490.367486271148,492.177844143072,1.9292886925127,0.597554840458438,1.92277434902692,2.22037100547887,2.2193601049217,0.596989927742406
2,2019,493.793926441646,495.480461538394,1.92005708381842,0.596307729972821,1.9119005666209,2.22140666513391,2.22061296103357,0.59816198342454
3,2019,495.659727193632,499.108549815109,1.9265526047808,0.596350512811116,1.91923810956994,2.22183153308243,2.21392360810817,0.598814739176476
4,2019,501.67141757781,506.95713305216,1.99791283314249,0.588472846111044,1.99014283231604,2.23413891412609,2.22116264787499,0.589669981143271
1,2020,515.556213783904,517.428723703172,2.06523627900144,0.580691875706457,2.05770850439561,2.2244097060703,2.22337269730886,0.581912593125363
2,2020,543.414764465868,556.305535794509,2.18535630373274,0.325013975879706,2.47639160466118,2.57859302452523,2.49194549152671,0.397969799438513
3,2020,561.505179040057,587.394957078069,2.43432912261791,0.208695220435612,2.97613984785062,2.66648750878174,2.61345099779166,0.273748124166721
4,2020,662.3771677348,673.96353832234,5.79720971926549,0.172528503387305,5.94147821908053,2.6174778215776,2.635094135162,0.186321094273005
1,2021,752.334217494947,757.559667475768,10.547870155873,0.0734195881711334,10.656895700598,2.77770280553141,2.77680387990064,0.0764950435287485
2,2021,766.584891253876,770.072769345253,11.2211792258257,0.0804059897051111,11.1751821753603,2.8006318559914,2.80052195843471,0.081193567986044
3,2021,769.780236102155,776.096243888697,11.225272574276,0.0817441941280217,11.1834493565207,2.79929693686479,2.80914794976877,0.0862803398527742
4,2021,774.752343530948,784.208178393383,11.3513484355137,0.0717198640526602,11.3723993463324,2.81281512871474,2.82542147135653,0.0816725593515985
1,2022,785.194840952864,788.806843895389,11.1569550458305,0.096757090146743,11.1135459335452,2.8017968195341,2.80208163190147,0.09696032633981
2,2022,791.340354755302,794.809108765105,11.1637181041641,0.0923733678174626,11.1225459187588,2.80534229504539,2.80440009215078,0.0935881289585494
3,2022,795.818941023684,801.201674487663,11.2727816823771,0.0911465178450931,11.2287166444828,2.80721618838907,2.79712690504698,0.0916525685018061
4,2022,796.558602200697,803.779436235004,11.0802941920315,0.0947177361672319,11.0355412064711,2.8041460018743,2.78443251429685,0.0941437883294281
1,2023,804.459161276798,808.040812424159,10.7870562669711,0.0988057801290463,10.7470390046923,2.7673782264277,2.76753451877053,0.0990385693618202
2,2023,809.462750566817,812.892354526801,10.7528188555984,0.0980808917082356,10.715052302592,2.75746444739297,2.75644372758129,0.0993060133261091
3,2023,809.843524320335,815.141990873964,10.5367263876214,0.102371402278589,10.4964463509549,2.7538549542119,2.74444688998949,0.102731309324777
4,2023,811.269245038323,818.463403215674,10.4245993492548,0.105241366231944,10.3824131413509,2.75069023540155,2.7336975226052,0.104949415417071
1,2024,821.495856127737,824.994510143098,10.3139908307393,0.105652396404178,10.2763695250605,2.72476496872288,2.72429302559053,0.106199517678256
2,2024,826.84460137858,830.232771330511,10.3044214361847,0.105053015157211,10.2689589876591,2.71772058456745,2.71695563415514,0.106192266422429
3,2024,824.741924860468,830.065308611696,9.92860921421811,0.112328871477696,9.89202929094295,2.71161426644098,2.70454058143316,0.112980268336431
4,2024,826.240199370639,833.525611535955,9.83804212615732,0.115045438105321,9.79921361321156,2.70811213984579,2.6953899491602,0.115161912421437
