origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd
1,2013,194.851144834334,196.718570939028,2.055998511777,2.04515358164743
2,2013,197.290648587174,198.999775657277,2.07659720547502,2.06528506899176
3,2013,199.205299287822,201.352059383265,2.08894805186999,2.09136925688062
4,2013,198.347601936618,199.703246958207,2.04616865931643,2.03498748401327
1,2014,202.452922997164,204.294399244956,2.03449027344108,2.02388507663921
2,2014,203.767603285808,205.44395869133,2.029255378225,2.01846494456737
3,2014,205.028784339523,206.643481742743,2.02701678550048,2.01847922895844
4,2014,207.121767942206,208.732067900894,2.05128525077843,2.04590417584021
1,2015,212.081172704608,213.922787305577,2.05843373353905,2.04790309778534
2,2015,213.185917846495,214.865651550664,2.04862275423874,2.03804901408626
3,2015,213.063319260915,214.629177181359,2.01727673017967,2.00823131759485
4,2015,213.269420238587,214.640064604963,2.00162547078551,1.99231308816507
1,2016,218.044374131491,219.862023297637,2.00507107571235,1.99526853061013
2,2016,218.630612105101,220.380381540498,1.98609494867696,1.97822525354815
3,2016,220.773737242283,222.345136583845,2.00190975849362,1.99354154286063
4,2016,221.145808583788,222.548299361169,1.99036425023433,1.98216122919798
1,2017,225.587970164062,227.389177066878,1.98734040219947,1.97785360555422
2,2017,226.41212321481,228.171778311592,1.97393067306174,1.96670647222269
3,2017,227.803857411219,229.692138335584,1.97497386430132,1.97314995977447
4,2017,228.541204910304,230.735100963836,1.97090074921796,1.97747418653728
1,2018,231.305861063195,233.078524460385,1.93772854926052,1.92876211088928
2,2018,232.336220327413,234.029706275767,1.92926724615977,1.92170253314873
3,2018,234.408190439424,236.022967815221,1.9427449463211,1.93649926118891
4,2018,235.653008616754,237.228122079763,1.94817005742512,1.94397291819219
1,2019,238.874729048818,240.684803333883,1.9246287085896,1.91679622928422
2,2019,240.673562709339,242.302687139771,1.92983647989914,1.92143802192474
3,2019,245.968042967469,247.477261601304,1.99903886389909,1.99050198232169
4,2019,251.279801284304,253.159444470282,2.07677408395939,2.07680085756726
1,2020,255.239842591428,257.094585465667,2.06454624219977,2.05598155068304
2,2020,280.659492036522,285.748912276726,2.5358754776845,2.59495887377649
3,2020,376.636217853743,381.645680891242,5.68181719458848,5.77726452372827
4,2020,500.822994250945,516.805103621185,16.0018483102895,17.7097856599279
1,2021,465.241839331989,468.805673301174,11.2185755276776,11.1751086678867
2,2021,468.544729588562,472.00387764282,11.2226769875668,11.1834784507225
3,2021,473.316401218578,477.646923906239,11.3812570038339,11.4368090000624
4,2021,481.929119789354,491.705768485547,11.9463369067436,12.5593290037865
1,2022,480.124685602509,483.656553719821,11.1764029053114,11.1319675621027
2,2022,484.51210141437,487.9106645516,11.2789192159754,11.2348919073576
3,2022,485.438790682021,488.75749260431,11.0863851877668,11.0519960543982
4,2022,485.080226342812,488.353445528044,10.8227949036688,10.8017843699655
1,2023,490.689844585169,494.185303139566,10.764771661836,10.7234008838772
2,2023,491.255534667024,494.574388471376,10.5440307286741,10.5031417145994
3,2023,492.833365522229,495.981870174896,10.4274987915937,10.3874405293184
4,2023,494.140539404903,497.120105521398,10.3233529950396,10.2845757980526
1,2024,500.284511605617,503.728302491408,10.3153828177225,10.2762354537614
2,2024,498.503756441294,501.766119647954,9.93527928311907,9.89812903956929
3,2024,500.185829617406,503.27574669628,9.84086536314975,9.80413695782625
4,2024,502.625883522157,505.558540905683,9.83248655663699,9.79677598970608
