forecaster_id,origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd
113,1,2014,201.153747531052,203.07834158694,2.0445864645777,2.03374747484209
114,2,2014,201.030800568949,201.030800568949,2.04414922251737,2.04414922251737
115,3,2014,203.709569530787,205.384587443172,2.02797588640295,2.01717716498876
115,4,2014,206.068062837018,207.597116193381,2.04980054463708,2.03907627201704
115,1,2015,209.981411067715,211.89018984672,2.05092851624169,2.04010641041434
116,2,2015,212.10058083716,213.932930204933,2.05885428737779,2.04811949867796
116,3,2015,213.203219239394,214.883783562577,2.04899193921216,2.03842992829117
116,4,2015,213.056755305678,214.583492107276,2.01714031036085,2.00729694674722
115,1,2016,216.178696002688,218.073969083875,2.00229981650545,1.99237114541656
115,2,2016,219.309937764541,221.094453817068,1.99963287630002,1.99226058511173
114,3,2016,219.530994457006,221.089836470354,1.97742781131378,1.96915574570383
115,4,2016,220.773737242283,222.307975596863,2.00190975849335,1.99281647189579
116,1,2017,224.013053785464,225.919768646416,1.9901936050214,1.98104393086414
102,2,2017,225.643465334918,227.44096409433,1.98841144180145,1.97883874938461
107,3,2017,226.639042934999,228.317409046225,1.97824282738912,1.96943804215366
15,4,2017,227.572095944941,229.329152110411,1.9706222233115,1.96641547157521
93,1,2018,230.13569343855,232.000013089349,1.94736437228896,1.93837165259688
16,2,2018,231.32543458188,233.096915050765,1.9380830441868,1.92909057811249
116,3,2018,232.256294300116,233.876400335284,1.92784022298385,1.91900279097003
118,4,2018,234.289312290312,235.828239234229,1.9406287226517,1.9330801188394
14,1,2019,237.743733135153,239.600883160931,1.93442000921347,1.92579953065279
98,2,2019,238.825505210247,240.596459711783,1.92377544247903,1.91528510254977
128,3,2019,240.70126529546,242.353293807285,1.93031379969943,1.92229836120076
128,4,2019,245.977700700742,247.568220911091,1.99920960631429,1.99208789456586
128,1,2020,253.75336071685,255.674066906443,2.06949408894346,2.06052128428513
45,2,2020,253.818364248051,253.818364248051,2.07255882315106,2.07255882315106
131,3,2020,276.063751375034,303.835248534969,2.43738016010318,3.02869168827386
5,4,2020,376.636217853743,382.041496114784,5.68181719456302,5.79666974450705
128,1,2021,454.510165564967,459.733915801772,10.5473949498613,10.6520333042697
128,2,2021,465.243779345876,468.798973668876,11.2187584212904,11.1744847818039
54,3,2021,468.551933443336,471.982181381483,11.2233507198914,11.1814734081765
16,4,2021,472.945004940962,476.864294750094,11.3463777131785,11.3636803813582
2,1,2022,476.586893785995,480.203293007999,11.1682041063102,11.1238224231043
16,2,2022,480.111111074752,483.635222582388,11.1751695423507,11.1300527891173
104,3,2022,484.518409043493,487.918774546543,11.2794929656054,11.2356208397775
135,4,2022,485.382917367225,488.595720481467,11.081430996656,11.0378164726034
135,1,2023,487.641500033757,491.220898880536,10.7957767445012,10.7539621325313
137,2,2023,490.693105978316,494.179506497286,10.765048107747,10.7229152783766
137,3,2023,491.250948639611,494.569050222931,10.5436529630834,10.5027070986488
137,4,2023,492.837140120529,495.991923631588,10.4278039016373,10.3882438061603
137,1,2024,497.018271937921,500.544466282229,10.3234678446227,10.2840362024234
137,2,2024,500.282571143864,503.726490135625,10.315230013574,10.2760943610919
137,3,2024,498.502513429549,501.761424672687,9.93518573140872,9.89777963857242
137,4,2024,500.186818531419,503.276723204559,9.84093853092298,9.80420839154214
