origin_quarter,origin_year,cy_logLik,cyandny_logLik,cy_rw_sd,cyandny_rw_sd,forecaster_id
2,2012,190.168968236118,192.576875078074,2.08387868311921,2.07982627082024,88
3,2012,192.25034246608,194.624689014459,2.09476778189669,2.08691579124233,88
4,2012,193.149479199508,195.40487051716,2.06411710606134,2.05775303780653,88
2,2013,197.345339153326,199.744296787454,2.04769924525031,2.04546155637768,88
3,2013,200.366732941231,202.798121462091,2.080183773742,2.07446491365732,88
1,2014,203.776313178632,206.171556061738,2.0494487674661,2.04338124990106,88
2,2014,205.38445679082,207.682785826473,2.03976331678872,2.03437895787598,88
3,2014,206.939643349422,209.280207965763,2.03739711220813,2.03054040706479,88
4,2014,208.597279758074,210.822688245733,2.02753026424021,2.02184241638497,88
1,2015,212.825108398458,215.572638590716,2.045633567789,2.04146503434079,88
2,2015,215.257538593568,217.66019391973,2.06437172810255,2.05957318092556,88
3,2015,216.714382622405,219.136507609674,2.0581783255234,2.05203831810406,88
1,2016,218.987093196558,221.457118516394,2.00712654761758,2.00192697391311,88
2,2016,221.160867422093,223.539924899522,2.00983641917051,2.00535465616967,88
2,2017,228.767013041811,231.135052384185,1.99353010147003,1.98926924973353,88
3,2017,229.684346439162,232.065603568367,1.97878640375532,1.97332602082595,88
1,2018,232.922633639066,235.366676735441,1.95211187359569,1.94751557070766,88
2,2018,234.405952817109,236.755735281808,1.94230032408533,1.93832187316614,88
3,2018,235.687274281582,238.043247301022,1.93550380931189,1.93031302981191,88
4,2018,238.444707146024,240.694129332732,1.94777192303669,1.9433870383813,88
1,2019,240.358672196885,242.782541892809,1.93604665197677,1.93159667447348,88
2,2019,241.884644401194,244.215487724411,1.92781087916652,1.92398116945779,88
3,2019,244.07691631085,246.426186416116,1.93733073405046,1.93226625205177,88
1,2020,256.434265607383,258.883225517514,2.07365845005477,2.06883881901679,88
3,2020,280.826019998605,290.849089168308,2.44208993560056,2.55618993041864,88
1,2021,464.760282189933,468.695602412224,10.780554450394,10.8266724316563,88
2,2021,468.413617114113,471.858406995716,11.2214279079767,11.1813238195633,88
3,2021,473.150567389204,476.749997577063,11.2496373930789,11.221962268894,88
4,2021,475.733610230941,479.092710758933,11.2880755005039,11.254473282205,88
